90045 silly lifecycle debug@2.6.3~preinstall: no script for preinstall, continuing
92476 verbose linkBins first-chunk-stream@1.0.0
92477 verbose linkMans first-chunk-stream@1.0.0
92478 silly build flagged-respawn@0.3.2
92479 info linkStuff flagged-respawn@0.3.2
92480 silly linkStuff flagged-respawn@0.3.2 has /Users/elaineo/Documents/etherwallet/node_modules as its parent node_modules
92481 verbose linkBins flagged-respawn@0.3.2
92482 verbose linkMans flagged-respawn@0.3.2
92483 silly build flatnest@1.0.0
92484 info linkStuff flatnest@1.0.0
92485 silly linkStuff flatnest@1.0.0 has /Users/elaineo/Documents/etherwallet/node_modules as its parent node_modules
92486 verbose linkBins flatnest@1.0.0
92487 verbose linkMans flatnest@1.0.0
92488 silly build flatten@1.0.2
92489 info linkStuff flatten@1.0.2
92490 silly linkStuff flatten@1.0.2 has /Users/elaineo/Documents/etherwallet/node_modules as its parent node_modules
92491 verbose linkBins flatten@1.0.2
92492 verbose linkMans flatten@1.0.2
92493 silly build for-in@1.0.2
92494 info linkStuff for-in@1.0.2
92495 silly linkStuff for-in@1.0.2 has /Users/elaineo/Documents/etherwallet/node_modules as its parent node_modules
92496 verbose linkBins for-in@1.0.2
92497 verbose linkMans for-in@1.0.2
92498 silly build for-own@0.1.5
92499 info linkStuff for-own@0.1.5
92500 silly linkStuff for-own@0.1.5 has /Users/elaineo/Documents/etherwallet/node_modules as its parent node_modules
92501 verbose linkBins for-own@0.1.5
92502 verbose linkMans for-own@0.1.5
92503 silly build forever-agent@0.6.1
92504 info linkStuff forever-agent@0.6.1
92505 silly linkStuff forever-agent@0.6.1 has /Users/elaineo/Documents/etherwallet/node_modules as its parent node_modules
92506 verbose linkBins forever-agent@0.6.1
92507 verbose linkMans forever-agent@0.6.1
92508 silly build forwarded@0.1.0
92509 info linkStuff forwarded@0.1.0
92510 silly linkStuff forwarded@0.1.0 has /Users/elaineo/Documents/etherwallet/node_modules as its parent node_modules
92511 verbose linkBins forwarded@0.1.0
92512 verbose linkMans forwarded@0.1.0
92513 silly build fresh@0.5.0
92514 info linkStuff fresh@0.5.0
92515 silly linkStuff fresh@0.5.0 has /Users/elaineo/Documents/etherwallet/node_modules as its parent node_modules
92516 verbose linkBins fresh@0.5.0
92517 verbose linkMans fresh@0.5.0
92518 silly build from@0.1.7
92519 info linkStuff from@0.1.7
92520 silly linkStuff from@0.1.7 has /Users/elaineo/Documents/etherwallet/node_modules as its parent node_modules
92521 verbose linkBins from@0.1.7
92522 verbose linkMans from@0.1.7
92523 silly build fs-exists-sync@0.1.0
92524 info linkStuff fs-exists-sync@0.1.0
92525 silly linkStuff fs-exists-sync@0.1.0 has /Users/elaineo/Documents/etherwallet/node_modules as its parent node_modules
92526 verbose linkBins fs-exists-sync@0.1.0
92527 verbose linkMans fs-exists-sync@0.1.0
92528 silly build detect-file@0.1.0
92529 info linkStuff detect-file@0.1.0
92530 silly linkStuff detect-file@0.1.0 has /Users/elaineo/Documents/etherwallet/node_modules as its parent node_modules
92531 verbose linkBins detect-file@0.1.0
92532 verbose linkMans detect-file@0.1.0
92533 silly build fs.realpath@1.0.0
92534 info linkStuff fs.realpath@1.0.0
92535 silly linkStuff fs.realpath@1.0.0 has /Users/elaineo/Documents/etherwallet/node_modules as its parent node_modules
92536 verbose linkBins fs.realpath@1.0.0
92537 verbose linkMans fs.realpath@1.0.0
92538 silly build function-bind@1.1.0
92539 info linkStuff function-bind@1.1.0
92540 silly linkStuff function-bind@1.1.0 has /Users/elaineo/Documents/etherwallet/node_modules as its parent node_modules
92541 verbose linkBins function-bind@1.1.0
92542 verbose linkMans function-bind@1.1.0
92543 silly build get-stdin@4.0.1
92544 info linkStuff get-stdin@4.0.1
92545 silly linkStuff get-stdin@4.0.1 has /Users/elaineo/Documents/etherwallet/node_modules as its parent node_modules
92546 verbose linkBins get-stdin@4.0.1
92547 verbose linkMans get-stdin@4.0.1
92548 silly build assert-plus@1.0.0
92549 info linkStuff assert-plus@1.0.0
92550 silly linkStuff assert-plus@1.0.0 has /Users/elaineo/Documents/etherwallet/node_modules/getpass/node_modules as its parent node_modules
92551 verbose linkBins assert-plus@1.0.0
92552 verbose linkMans assert-plus@1.0.0
92553 silly build getpass@0.1.6
92554 info linkStuff getpass@0.1.6
92555 silly linkStuff getpass@0.1.6 has /Users/elaineo/Documents/etherwallet/node_modules as its parent node_modules
92556 verbose linkBins getpass@0.1.6
92557 verbose linkMans getpass@0.1.6
92558 silly build github-from-package@0.0.0
92559 info linkStuff github-from-package@0.0.0
92560 silly linkStuff github-from-package@0.0.0 has /Users/elaineo/Documents/etherwallet/node_modules as its parent node_modules
92561 verbose linkBins github-from-package@0.0.0
92562 verbose linkMans github-from-package@0.0.0
92563 silly build isarray@0.0.1
92564 info linkStuff isarray@0.0.1
92565 silly linkStuff isarray@0.0.1 has /Users/elaineo/Documents/etherwallet/node_modules/glob-stream/node_modules as its parent node_modules
92566 verbose linkBins isarray@0.0.1
92567 verbose linkMans isarray@0.0.1
92568 silly build minimatch@2.0.10
92569 info linkStuff minimatch@2.0.10
92570 silly linkStuff minimatch@2.0.10 has /Users/elaineo/Documents/etherwallet/node_modules/glob-stream/node_modules as its parent node_modules
92571 verbose linkBins minimatch@2.0.10
92572 verbose linkMans minimatch@2.0.10
92573 silly build glob2base@0.0.12
92574 info linkStuff glob2base@0.0.12
92575 silly linkStuff glob2base@0.0.12 has /Users/elaineo/Documents/etherwallet/node_modules as its parent node_modules
92576 verbose linkBins glob2base@0.0.12
92577 verbose linkMans glob2base@0.0.12
92578 silly build graceful-fs@1.2.3
92579 info linkStuff graceful-fs@1.2.3
92580 silly linkStuff graceful-fs@1.2.3 has /Users/elaineo/Documents/etherwallet/node_modules/globule/node_modules as its parent node_modules
92581 verbose linkBins graceful-fs@1.2.3
92582 verbose linkMans graceful-fs@1.2.3
92583 silly build inherits@1.0.2
92584 info linkStuff inherits@1.0.2
92585 silly linkStuff inherits@1.0.2 has /Users/elaineo/Documents/etherwallet/node_modules/globule/node_modules as its parent node_modules
92586 verbose linkBins inherits@1.0.2
92587 verbose linkMans inherits@1.0.2
92588 silly build growly@1.3.0
92589 info linkStuff growly@1.3.0
92590 silly linkStuff growly@1.3.0 has /Users/elaineo/Documents/etherwallet/node_modules as its parent node_modules
92591 verbose linkBins growly@1.3.0
92592 verbose linkMans growly@1.3.0
92593 silly build acorn@2.7.0
92594 info linkStuff acorn@2.7.0
92595 silly linkStuff acorn@2.7.0 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92596 verbose linkBins acorn@2.7.0
92597 verbose linkBins [ { acorn: './bin/acorn' },
92597 verbose linkBins   '/Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/.bin',
92597 verbose linkBins   false ]
92598 verbose linkMans acorn@2.7.0
92599 silly gentlyRm /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/.bin/acorn is being purged
92600 verbose gentlyRm don't care about contents; nuking /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/.bin/acorn
92601 silly build ansi-regex@0.2.1
92602 info linkStuff ansi-regex@0.2.1
92603 silly linkStuff ansi-regex@0.2.1 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92604 verbose linkBins ansi-regex@0.2.1
92605 verbose linkMans ansi-regex@0.2.1
92606 silly build ansi-styles@1.1.0
92607 info linkStuff ansi-styles@1.1.0
92608 silly linkStuff ansi-styles@1.1.0 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92609 verbose linkBins ansi-styles@1.1.0
92610 verbose linkMans ansi-styles@1.1.0
92611 silly build base64-js@0.0.8
92612 info linkStuff base64-js@0.0.8
92613 silly linkStuff base64-js@0.0.8 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92614 verbose linkBins base64-js@0.0.8
92615 verbose linkMans base64-js@0.0.8
92616 silly build through@2.2.7
92617 info linkStuff through@2.2.7
92618 silly linkStuff through@2.2.7 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/browser-pack/node_modules/JSONStream/node_modules as its parent node_modules
92619 verbose linkBins through@2.2.7
92620 verbose linkMans through@2.2.7
92621 silly build console-browserify@1.0.3
92622 info linkStuff console-browserify@1.0.3
92623 silly linkStuff console-browserify@1.0.3 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92624 verbose linkBins console-browserify@1.0.3
92625 verbose linkMans console-browserify@1.0.3
92626 silly build constants-browserify@0.0.1
92627 info linkStuff constants-browserify@0.0.1
92628 silly linkStuff constants-browserify@0.0.1 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92629 verbose linkBins constants-browserify@0.0.1
92630 verbose linkMans constants-browserify@0.0.1
92631 silly build convert-source-map@0.3.5
92632 info linkStuff convert-source-map@0.3.5
92633 silly linkStuff convert-source-map@0.3.5 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92634 verbose linkBins convert-source-map@0.3.5
92635 verbose linkMans convert-source-map@0.3.5
92636 silly build crypto-browserify@1.0.9
92637 info linkStuff crypto-browserify@1.0.9
92638 silly linkStuff crypto-browserify@1.0.9 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92639 verbose linkBins crypto-browserify@1.0.9
92640 verbose linkMans crypto-browserify@1.0.9
92641 silly build defined@0.0.0
92642 info linkStuff defined@0.0.0
92643 silly linkStuff defined@0.0.0 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92644 verbose linkBins defined@0.0.0
92645 verbose linkMans defined@0.0.0
92646 silly build through@2.2.7
92647 info linkStuff through@2.2.7
92648 silly linkStuff through@2.2.7 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/deps-sort/node_modules/JSONStream/node_modules as its parent node_modules
92649 verbose linkBins through@2.2.7
92650 verbose linkMans through@2.2.7
92651 silly build detective@3.1.0
92652 info linkStuff detective@3.1.0
92653 silly linkStuff detective@3.1.0 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92654 verbose linkBins detective@3.1.0
92655 verbose linkMans detective@3.1.0
92656 silly build events@1.0.2
92657 info linkStuff events@1.0.2
92658 silly linkStuff events@1.0.2 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92659 verbose linkBins events@1.0.2
92660 verbose linkMans events@1.0.2
92661 silly build minimist@0.2.0
92662 info linkStuff minimist@0.2.0
92663 silly linkStuff minimist@0.2.0 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/gulp-util/node_modules as its parent node_modules
92664 verbose linkBins minimist@0.2.0
92665 verbose linkMans minimist@0.2.0
92666 silly build string_decoder@0.10.31
92667 info linkStuff string_decoder@0.10.31
92668 silly linkStuff string_decoder@0.10.31 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/gulp-util/node_modules as its parent node_modules
92669 verbose linkBins string_decoder@0.10.31
92670 verbose linkMans string_decoder@0.10.31
92671 silly build has-ansi@0.1.0
92672 info linkStuff has-ansi@0.1.0
92673 silly linkStuff has-ansi@0.1.0 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92674 verbose linkBins has-ansi@0.1.0
92675 verbose linkBins [ { 'has-ansi': 'cli.js' },
92675 verbose linkBins   '/Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/.bin',
92675 verbose linkBins   false ]
92676 verbose linkMans has-ansi@0.1.0
92677 silly gentlyRm /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/.bin/has-ansi is being purged
92678 verbose gentlyRm don't care about contents; nuking /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/.bin/has-ansi
92679 silly build source-map@0.3.0
92680 info linkStuff source-map@0.3.0
92681 silly linkStuff source-map@0.3.0 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/inline-source-map/node_modules as its parent node_modules
92682 verbose linkBins source-map@0.3.0
92683 verbose linkMans source-map@0.3.0
92684 silly build inline-source-map@0.3.1
92685 info linkStuff inline-source-map@0.3.1
92686 silly linkStuff inline-source-map@0.3.1 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92687 verbose linkBins inline-source-map@0.3.1
92688 verbose linkMans inline-source-map@0.3.1
92689 silly build process@0.6.0
92690 info linkStuff process@0.6.0
92691 silly linkStuff process@0.6.0 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/insert-module-globals/node_modules as its parent node_modules
92692 verbose linkBins process@0.6.0
92693 verbose linkMans process@0.6.0
92694 silly build isarray@0.0.1
92695 info linkStuff isarray@0.0.1
92696 silly linkStuff isarray@0.0.1 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92697 verbose linkBins isarray@0.0.1
92698 verbose linkMans isarray@0.0.1
92699 silly build jsonparse@0.0.5
92700 info linkStuff jsonparse@0.0.5
92701 silly linkStuff jsonparse@0.0.5 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92702 verbose linkBins jsonparse@0.0.5
92703 verbose linkMans jsonparse@0.0.5
92704 silly build JSONStream@0.6.4
92705 info linkStuff JSONStream@0.6.4
92706 silly linkStuff JSONStream@0.6.4 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/browser-pack/node_modules as its parent node_modules
92707 verbose linkBins JSONStream@0.6.4
92708 verbose linkMans JSONStream@0.6.4
92709 silly build JSONStream@0.6.4
92710 info linkStuff JSONStream@0.6.4
92711 silly linkStuff JSONStream@0.6.4 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/deps-sort/node_modules as its parent node_modules
92712 verbose linkBins JSONStream@0.6.4
92713 verbose linkMans JSONStream@0.6.4
92714 silly build lexical-scope@1.1.1
92715 info linkStuff lexical-scope@1.1.1
92716 silly linkStuff lexical-scope@1.1.1 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92717 verbose linkBins lexical-scope@1.1.1
92718 verbose linkMans lexical-scope@1.1.1
92719 silly build lodash._reinterpolate@2.4.1
92720 info linkStuff lodash._reinterpolate@2.4.1
92721 silly linkStuff lodash._reinterpolate@2.4.1 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92722 verbose linkBins lodash._reinterpolate@2.4.1
92723 verbose linkMans lodash._reinterpolate@2.4.1
92724 silly build minimist@0.0.10
92725 info linkStuff minimist@0.0.10
92726 silly linkStuff minimist@0.0.10 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92727 verbose linkBins minimist@0.0.10
92728 verbose linkMans minimist@0.0.10
92729 silly build parents@0.0.2
92730 info linkStuff parents@0.0.2
92731 silly linkStuff parents@0.0.2 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/module-deps/node_modules as its parent node_modules
92732 verbose linkBins parents@0.0.2
92733 verbose linkBins [ {},
92733 verbose linkBins   '/Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/module-deps/node_modules/.bin',
92733 verbose linkBins   false ]
92734 verbose linkMans parents@0.0.2
92735 silly build path-platform@0.0.1
92736 info linkStuff path-platform@0.0.1
92737 silly linkStuff path-platform@0.0.1 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92738 verbose linkBins path-platform@0.0.1
92739 verbose linkMans path-platform@0.0.1
92740 silly build parents@0.0.3
92741 info linkStuff parents@0.0.3
92742 silly linkStuff parents@0.0.3 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92743 verbose linkBins parents@0.0.3
92744 verbose linkBins [ {},
92744 verbose linkBins   '/Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/.bin',
92744 verbose linkBins   false ]
92745 verbose linkMans parents@0.0.3
92746 silly build process@0.7.0
92747 info linkStuff process@0.7.0
92748 silly linkStuff process@0.7.0 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92749 verbose linkBins process@0.7.0
92750 verbose linkMans process@0.7.0
92751 silly build punycode@1.2.4
92752 info linkStuff punycode@1.2.4
92753 silly linkStuff punycode@1.2.4 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92754 verbose linkBins punycode@1.2.4
92755 verbose linkMans punycode@1.2.4
92756 silly build querystring-es3@0.2.0
92757 info linkStuff querystring-es3@0.2.0
92758 silly linkStuff querystring-es3@0.2.0 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92759 verbose linkBins querystring-es3@0.2.0
92760 verbose linkMans querystring-es3@0.2.0
92761 silly build string_decoder@0.10.31
92762 info linkStuff string_decoder@0.10.31
92763 silly linkStuff string_decoder@0.10.31 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/readable-stream/node_modules as its parent node_modules
92764 verbose linkBins string_decoder@0.10.31
92765 verbose linkMans string_decoder@0.10.31
92766 silly build resolve@0.6.3
92767 info linkStuff resolve@0.6.3
92768 silly linkStuff resolve@0.6.3 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92769 verbose linkBins resolve@0.6.3
92770 verbose linkMans resolve@0.6.3
92771 silly build browser-resolve@1.2.4
92772 info linkStuff browser-resolve@1.2.4
92773 silly linkStuff browser-resolve@1.2.4 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92774 verbose linkBins browser-resolve@1.2.4
92775 verbose linkMans browser-resolve@1.2.4
92776 silly build shell-quote@0.0.1
92777 info linkStuff shell-quote@0.0.1
92778 silly linkStuff shell-quote@0.0.1 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92779 verbose linkBins shell-quote@0.0.1
92780 verbose linkMans shell-quote@0.0.1
92781 silly build source-map@0.1.43
92782 info linkStuff source-map@0.1.43
92783 silly linkStuff source-map@0.1.43 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92784 verbose linkBins source-map@0.1.43
92785 verbose linkMans source-map@0.1.43
92786 silly build combine-source-map@0.3.0
92787 info linkStuff combine-source-map@0.3.0
92788 silly linkStuff combine-source-map@0.3.0 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92789 verbose linkBins combine-source-map@0.3.0
92790 verbose linkMans combine-source-map@0.3.0
92791 silly build process@0.5.2
92792 info linkStuff process@0.5.2
92793 silly linkStuff process@0.5.2 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/stream-browserify/node_modules as its parent node_modules
92794 verbose linkBins process@0.5.2
92795 verbose linkMans process@0.5.2
92796 silly build string_decoder@0.0.1
92797 info linkStuff string_decoder@0.0.1
92798 silly linkStuff string_decoder@0.0.1 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92799 verbose linkBins string_decoder@0.0.1
92800 verbose linkMans string_decoder@0.0.1
92801 silly build strip-ansi@0.3.0
92802 info linkStuff strip-ansi@0.3.0
92803 silly linkStuff strip-ansi@0.3.0 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92804 verbose linkBins strip-ansi@0.3.0
92805 verbose linkBins [ { 'strip-ansi': 'cli.js' },
92805 verbose linkBins   '/Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/.bin',
92805 verbose linkBins   false ]
92806 verbose linkMans strip-ansi@0.3.0
92807 silly gentlyRm /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/.bin/strip-ansi is being purged
92808 verbose gentlyRm don't care about contents; nuking /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/.bin/strip-ansi
92809 silly build subarg@0.0.1
92810 info linkStuff subarg@0.0.1
92811 silly linkStuff subarg@0.0.1 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92812 verbose linkBins subarg@0.0.1
92813 verbose linkMans subarg@0.0.1
92814 silly build supports-color@0.2.0
92815 info linkStuff supports-color@0.2.0
92816 silly linkStuff supports-color@0.2.0 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92817 verbose linkBins supports-color@0.2.0
92818 verbose linkBins [ { 'supports-color': 'cli.js' },
92818 verbose linkBins   '/Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/.bin',
92818 verbose linkBins   false ]
92819 verbose linkMans supports-color@0.2.0
92820 silly gentlyRm /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/.bin/supports-color is being purged
92821 verbose gentlyRm don't care about contents; nuking /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/.bin/supports-color
92822 silly build chalk@0.5.1
92823 info linkStuff chalk@0.5.1
92824 silly linkStuff chalk@0.5.1 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92825 verbose linkBins chalk@0.5.1
92826 verbose linkMans chalk@0.5.1
92827 silly build syntax-error@1.1.6
92828 info linkStuff syntax-error@1.1.6
92829 silly linkStuff syntax-error@1.1.6 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92830 verbose linkBins syntax-error@1.1.6
92831 verbose linkMans syntax-error@1.1.6
92832 silly build string_decoder@0.10.31
92833 info linkStuff string_decoder@0.10.31
92834 silly linkStuff string_decoder@0.10.31 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/through2/node_modules as its parent node_modules
92835 verbose linkBins string_decoder@0.10.31
92836 verbose linkMans string_decoder@0.10.31
92837 silly build process@0.5.2
92838 info linkStuff process@0.5.2
92839 silly linkStuff process@0.5.2 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/timers-browserify/node_modules as its parent node_modules
92840 verbose linkBins process@0.5.2
92841 verbose linkMans process@0.5.2
92842 silly build timers-browserify@1.0.3
92843 info linkStuff timers-browserify@1.0.3
92844 silly linkStuff timers-browserify@1.0.3 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92845 verbose linkBins timers-browserify@1.0.3
92846 verbose linkMans timers-browserify@1.0.3
92847 silly build punycode@1.3.2
92848 info linkStuff punycode@1.3.2
92849 silly linkStuff punycode@1.3.2 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules/url/node_modules as its parent node_modules
92850 verbose linkBins punycode@1.3.2
92851 verbose linkMans punycode@1.3.2
92852 silly build vinyl@0.2.3
92853 info linkStuff vinyl@0.2.3
92854 silly linkStuff vinyl@0.2.3 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92855 verbose linkBins vinyl@0.2.3
92856 verbose linkMans vinyl@0.2.3
92857 silly build xtend@3.0.0
92858 info linkStuff xtend@3.0.0
92859 silly linkStuff xtend@3.0.0 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-browserify/node_modules as its parent node_modules
92860 verbose linkBins xtend@3.0.0
92861 verbose linkMans xtend@3.0.0
92862 silly build ansi-regex@0.2.1
92863 info linkStuff ansi-regex@0.2.1
92864 silly linkStuff ansi-regex@0.2.1 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-clean/node_modules as its parent node_modules
92865 verbose linkBins ansi-regex@0.2.1
92866 verbose linkMans ansi-regex@0.2.1
92867 silly build ansi-styles@1.1.0
92868 info linkStuff ansi-styles@1.1.0
92869 silly linkStuff ansi-styles@1.1.0 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-clean/node_modules as its parent node_modules
92870 verbose linkBins ansi-styles@1.1.0
92871 verbose linkMans ansi-styles@1.1.0
92872 silly build has-ansi@0.1.0
92873 info linkStuff has-ansi@0.1.0
92874 silly linkStuff has-ansi@0.1.0 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-clean/node_modules as its parent node_modules
92875 verbose linkBins has-ansi@0.1.0
92876 verbose linkBins [ { 'has-ansi': 'cli.js' },
92876 verbose linkBins   '/Users/elaineo/Documents/etherwallet/node_modules/gulp-clean/node_modules/.bin',
92876 verbose linkBins   false ]
92877 verbose linkMans has-ansi@0.1.0
92878 silly gentlyRm /Users/elaineo/Documents/etherwallet/node_modules/gulp-clean/node_modules/.bin/has-ansi is being purged
92879 verbose gentlyRm don't care about contents; nuking /Users/elaineo/Documents/etherwallet/node_modules/gulp-clean/node_modules/.bin/has-ansi
92880 silly build isarray@0.0.1
92881 info linkStuff isarray@0.0.1
92882 silly linkStuff isarray@0.0.1 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-clean/node_modules as its parent node_modules
92883 verbose linkBins isarray@0.0.1
92884 verbose linkMans isarray@0.0.1
92885 silly build lodash._reinterpolate@2.4.1
92886 info linkStuff lodash._reinterpolate@2.4.1
92887 silly linkStuff lodash._reinterpolate@2.4.1 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-clean/node_modules as its parent node_modules
92888 verbose linkBins lodash._reinterpolate@2.4.1
92889 verbose linkMans lodash._reinterpolate@2.4.1
92890 silly build minimist@0.2.0
92891 info linkStuff minimist@0.2.0
92892 silly linkStuff minimist@0.2.0 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-clean/node_modules as its parent node_modules
92893 verbose linkBins minimist@0.2.0
92894 verbose linkMans minimist@0.2.0
92895 silly build strip-ansi@0.3.0
92896 info linkStuff strip-ansi@0.3.0
92897 silly linkStuff strip-ansi@0.3.0 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-clean/node_modules as its parent node_modules
92898 verbose linkBins strip-ansi@0.3.0
92899 verbose linkBins [ { 'strip-ansi': 'cli.js' },
92899 verbose linkBins   '/Users/elaineo/Documents/etherwallet/node_modules/gulp-clean/node_modules/.bin',
92899 verbose linkBins   false ]
92900 verbose linkMans strip-ansi@0.3.0
92901 silly gentlyRm /Users/elaineo/Documents/etherwallet/node_modules/gulp-clean/node_modules/.bin/strip-ansi is being purged
92902 verbose gentlyRm don't care about contents; nuking /Users/elaineo/Documents/etherwallet/node_modules/gulp-clean/node_modules/.bin/strip-ansi
92903 silly build supports-color@0.2.0
92904 info linkStuff supports-color@0.2.0
92905 silly linkStuff supports-color@0.2.0 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-clean/node_modules as its parent node_modules
92906 verbose linkBins supports-color@0.2.0
92907 verbose linkBins [ { 'supports-color': 'cli.js' },
92907 verbose linkBins   '/Users/elaineo/Documents/etherwallet/node_modules/gulp-clean/node_modules/.bin',
92907 verbose linkBins   false ]
92908 verbose linkMans supports-color@0.2.0
92909 silly gentlyRm /Users/elaineo/Documents/etherwallet/node_modules/gulp-clean/node_modules/.bin/supports-color is being purged
92910 verbose gentlyRm don't care about contents; nuking /Users/elaineo/Documents/etherwallet/node_modules/gulp-clean/node_modules/.bin/supports-color
92911 silly build chalk@0.5.1
92912 info linkStuff chalk@0.5.1
92913 silly linkStuff chalk@0.5.1 has /Users/elaineo/Documents/etherwallet/node_modules/gulp-clean/node_modules as its parent node_modules
92914 verbose linkBins chalk@0.5.1
92915 verbose linkMans chalk@0.5.1
92916 silly build vinyl@0.2.3
92917 info linkStuff vinyl@0.2.3
